"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"insurance API","Claims Endpoint","File Claim — Validation","0","0","2","0","0"
"Healthcare FHIR API","Claim Resource","Claim Adjudication","0","0","1","0","0"
"PetStore API","Pet Endpoint","Get Pet by ID","0","0","3","0","0"
"PetStore API","User Endpoint","Login / Logout","0","0","3","0","0"
"Healthcare FHIR API","Prior Authorization — Async","Submit Prior Auth","0","0","2","0","0"
"insurance API","Claims Endpoint","Close Claim","0","0","2","0","0"
"Healthcare FHIR API","Prior Authorization — Async","Prior Auth Decision — Async Polling","0","0","4","0","0"
"insurance API","Claims Endpoint","File Claim — FNOL","0","0","1","0","0"
"Healthcare FHIR API","Encounter Resource","Create Encounter","0","0","2","0","0"
"PetStore API","Pet Endpoint","Delete Pet","0","0","2","0","0"
"Healthcare FHIR API","Claim Resource","Get Claim","0","0","2","0","0"
"insurance API","Quote Endpoint","Create Quote","0","0","7","0","0"
"PetStore API","Pet Endpoint","Find Pets by Status","0","0","4","0","0"
"PetStore API","Pet Endpoint","Update Pet","0","0","1","0","0"
"insurance API","Policy Endpoint","Bind Policy — Validation","0","0","2","0","0"
"PetStore API","Store Endpoint","Get Order","0","0","2","0","0"
"Healthcare FHIR API","Prior Authorization — Async","Submit Prior Auth — Validation","0","0","2","0","0"
"Healthcare FHIR API","Claim Resource","Submit Claim","0","0","2","0","0"
"insurance API","Policy Endpoint","Get Policy","0","0","2","0","0"
"PetStore API","Pet Endpoint","Create Pet","0","0","2","0","0"
"Healthcare FHIR API","Patient Resource","Create Patient — Validation","0","0","1","0","0"
"PetStore API","User Endpoint","Update User","0","0","1","0","0"
"insurance API","Quote Endpoint","Create Quote — Validation","0","0","3","0","0"
"Healthcare FHIR API","Encounter Resource","Get Encounter","0","0","1","1","0"
"insurance API","Policy Endpoint","Bind Policy","0","0","2","0","0"
"Healthcare FHIR API","Patient Resource","Get Patient","0","0","2","0","0"
"PetStore API","User Endpoint","Create User","0","0","3","0","0"
"Healthcare FHIR API","Patient Resource","Create Patient","0","0","4","0","0"
"insurance API","Quote Endpoint","Get Quote","0","0","2","0","0"
"insurance API","Claims Endpoint","Claim Adjudication — Async","0","0","1","0","0"
"insurance API","Claims Endpoint","Get Claim","0","0","2","0","0"
"Healthcare FHIR API","Encounter Resource","Search Encounter","0","0","1","0","0"
"PetStore API","User Endpoint","Get User","0","0","2","0","0"
"Healthcare FHIR API","Patient Resource","Update Patient","0","0","1","0","0"
"Healthcare FHIR API","Encounter Resource","Create Encounter — Validation","0","0","1","0","0"
"Healthcare FHIR API","Claim Resource","Submit Claim — Validation","0","0","2","0","0"
"PetStore API","Store Endpoint","Place Order","0","0","2","0","0"
"PetStore API","Store Endpoint","Delete Order","0","0","1","0","0"
"Healthcare FHIR API","Patient Resource","Search Patient","0","0","1","0","0"
"insurance API","Policy Endpoint","Cancel Policy","0","0","2","0","0"
"PetStore API","Store Endpoint","Inventory","0","0","1","0","0"
"PetStore API","User Endpoint","Delete User","0","0","2","0","0"
