"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 16 07:58:53 UTC 2026","Thu Apr 16 07:58:54 UTC 2026","1002","AI Test Automation Suite","Healthcare Encounter Tests","com.aitesting.api.healthcare.EncounterTests","com.aitesting.api.healthcare.EncounterTests","createEncounter_missingSubject_returns4xx","createEncounter_missingSubject_returns4xx","POST /Encounter without subject (patient reference) should return 400/422."
"passed","Thu Apr 16 07:58:46 UTC 2026","Thu Apr 16 07:58:47 UTC 2026","947","AI Test Automation Suite","Healthcare Patient Tests","com.aitesting.api.healthcare.PatientTests","com.aitesting.api.healthcare.PatientTests","getPatient_found_returns200","getPatient_found_returns200","GET /Patient/{id} for existing patient should return 200 with complete data."
"passed","Thu Apr 16 07:58:52 UTC 2026","Thu Apr 16 07:58:53 UTC 2026","991","AI Test Automation Suite","Healthcare Encounter Tests","com.aitesting.api.healthcare.EncounterTests","com.aitesting.api.healthcare.EncounterTests","getEncounter_notFound_returns404","getEncounter_notFound_returns404","GET /Encounter/{id} for non-existent encounter should return 404."
"passed","Thu Apr 16 07:58:57 UTC 2026","Thu Apr 16 07:58:57 UTC 2026","87","AI Test Automation Suite","Healthcare Prior Auth Tests","com.aitesting.api.healthcare.PriorAuthTests","com.aitesting.api.healthcare.PriorAuthTests","submitPriorAuth_electiveMri_returnsQueued","submitPriorAuth_electiveMri_returnsQueued","Submit PA request for elective MRI — returns 201 with queued status."
"passed","Thu Apr 16 07:58:37 UTC 2026","Thu Apr 16 07:58:37 UTC 2026","46","AI Test Automation Suite","Insurance Quote Tests","com.aitesting.api.insurance.QuoteTests","com.aitesting.api.insurance.QuoteTests","createQuote_highRisk_referredOrDeclined","createQuote_highRisk_referredOrDeclined","High-risk applicant (3 accidents) should receive referred or declined status."
"passed","Thu Apr 16 07:58:37 UTC 2026","Thu Apr 16 07:58:37 UTC 2026","73","AI Test Automation Suite","Insurance Policy Tests","com.aitesting.api.insurance.PolicyTests","com.aitesting.api.insurance.PolicyTests","getPolicyById_found_returns200","getPolicyById_found_returns200","GET /policies/{id} for active policy should return 200 with full details."
"passed","Thu Apr 16 07:58:23 UTC 2026","Thu Apr 16 07:58:24 UTC 2026","674","AI Test Automation Suite","Pet Endpoint Tests","com.aitesting.api.petstore.PetTests","com.aitesting.api.petstore.PetTests","findByStatus_validStatus","findByStatus_validStatus","GET /pet/findByStatus with each valid status should return 200 and a list."
"passed","Thu Apr 16 07:58:33 UTC 2026","Thu Apr 16 07:58:34 UTC 2026","321","AI Test Automation Suite","User Endpoint Tests","com.aitesting.api.petstore.UserTests","com.aitesting.api.petstore.UserTests","login_missingCredentials","login_missingCredentials","GET /user/login with missing credentials should return 400."
"passed","Thu Apr 16 07:58:40 UTC 2026","Thu Apr 16 07:58:40 UTC 2026","721","AI Test Automation Suite","Healthcare Patient Tests","com.aitesting.api.healthcare.PatientTests","com.aitesting.api.healthcare.PatientTests","createPatient_validAdult_returns201","createPatient_validAdult_returns201","POST /Patient with valid FHIR R4 payload should return 201 with patient ID."
"passed","Thu Apr 16 07:58:21 UTC 2026","Thu Apr 16 07:58:23 UTC 2026","1993","AI Test Automation Suite","Pet Endpoint Tests","com.aitesting.api.petstore.PetTests","com.aitesting.api.petstore.PetTests","findByStatus_invalidStatus","findByStatus_invalidStatus","GET /pet/findByStatus with an invalid status value should return 400."
"passed","Thu Apr 16 07:58:37 UTC 2026","Thu Apr 16 07:58:37 UTC 2026","17","AI Test Automation Suite","Insurance Quote Tests","com.aitesting.api.insurance.QuoteTests","com.aitesting.api.insurance.QuoteTests","getQuoteById_notFound_returns404","getQuoteById_notFound_returns404","GET /quotes/{id} for non-existent quote should return 404."
"passed","Thu Apr 16 07:58:28 UTC 2026","Thu Apr 16 07:58:29 UTC 2026","730","AI Test Automation Suite","Pet Endpoint Tests","com.aitesting.api.petstore.PetTests","com.aitesting.api.petstore.PetTests","deletePet_happyPath","deletePet_happyPath","DELETE /pet/{id} for an existing pet should return 200."
"passed","Thu Apr 16 07:58:38 UTC 2026","Thu Apr 16 07:58:38 UTC 2026","18","AI Test Automation Suite","Insurance Claims Tests","com.aitesting.api.insurance.ClaimsTests","com.aitesting.api.insurance.ClaimsTests","fileClaim_invalidPolicyId_returns404","fileClaim_invalidPolicyId_returns404","POST /claims with non-existent policy ID should return 404."
"passed","Thu Apr 16 07:58:35 UTC 2026","Thu Apr 16 07:58:36 UTC 2026","711","AI Test Automation Suite","User Endpoint Tests","com.aitesting.api.petstore.UserTests","com.aitesting.api.petstore.UserTests","deleteUser_happyPath","deleteUser_happyPath","DELETE /user/{username} for an existing user should return 200."
"passed","Thu Apr 16 07:58:36 UTC 2026","Thu Apr 16 07:58:37 UTC 2026","304","AI Test Automation Suite","Insurance Quote Tests","com.aitesting.api.insurance.QuoteTests","com.aitesting.api.insurance.QuoteTests","createQuote_validDeductibles","createQuote_validDeductibles","All valid deductible values (250/500/1000/2000) should return 200."
"passed","Thu Apr 16 07:58:27 UTC 2026","Thu Apr 16 07:58:27 UTC 2026","369","AI Test Automation Suite","Pet Endpoint Tests","com.aitesting.api.petstore.PetTests","com.aitesting.api.petstore.PetTests","getPetById_invalidId","getPetById_invalidId","GET /pet/{id} with a non-numeric ID should return 400."
"passed","Thu Apr 16 07:58:31 UTC 2026","Thu Apr 16 07:58:32 UTC 2026","686","AI Test Automation Suite","Store Endpoint Tests","com.aitesting.api.petstore.StoreTests","com.aitesting.api.petstore.StoreTests","deleteOrder_happyPath","deleteOrder_happyPath","DELETE /store/order/{id} for an existing order should return 200."
"passed","Thu Apr 16 07:58:57 UTC 2026","Thu Apr 16 07:58:57 UTC 2026","25","AI Test Automation Suite","Healthcare Prior Auth Tests","com.aitesting.api.healthcare.PriorAuthTests","com.aitesting.api.healthcare.PriorAuthTests","submitPriorAuth_routineVisit_returnsQueued","submitPriorAuth_routineVisit_returnsQueued","Submit PA for routine office visit — typically auto-approved."
"passed","Thu Apr 16 07:58:37 UTC 2026","Thu Apr 16 07:58:37 UTC 2026","35","AI Test Automation Suite","Insurance Quote Tests","com.aitesting.api.insurance.QuoteTests","com.aitesting.api.insurance.QuoteTests","createQuote_validDeductibles","createQuote_validDeductibles","All valid deductible values (250/500/1000/2000) should return 200."
